player,aces,bk_pts,bp_saved,crosscourt,deep,dfs,down_middle,down_the_line,err_deep,err_net,err_wide,err_wide_deep,first_aces,first_forced,first_in,first_pts,first_pts_won,first_unret,first_won,first_won_lte_3_shots,forced_err,in_play,in_play_won,induced_forced,inside_in,inside_out,net_pts,net_unforced,net_winner,passed_at_net,passing_shot_induced_forced,pt_ending,pts,pts_won,pts_won_lte_3_shots,return_forced,return_pts,return_pts_won,returnable,returnable_won,second_aces,second_forced,second_in,second_pts,second_pts_won,second_unret,second_won,second_won_lte_3_shots,serve_pts,serve_return,shallow,shots,shots_in_pts_lost,shots_in_pts_won,snv_pts,total_shots,unforced,unforced_bh,unforced_fh,unret,very_deep,winners,winners_bh,winners_fh
Marinko_Matosevic,325.0,54.0,34.0,1542.0,742.0,93.0,952.0,293.0,42.0,14.0,0.0,0.0,144.0,111.0,1050.0,630.0,486.0,48.0,324.0,351.0,180.0,1635.0,848.0,301.0,97.0,426.0,152.0,30.0,80.0,42.0,8.0,1419.0,3583.0,1983.0,489.0,82.0,732.0,256.0,3203.0,848.0,9.0,69.0,312.0,466.0,228.0,12.0,152.0,138.0,732.0,1249.0,238.0,5605.0,2792.0,2813.0,468.0,10687.0,1018.0,102.0,112.0,82.0,287.0,781.0,48.0,90.0
Florian_Mayer,341.0,66.0,40.0,1445.0,392.0,55.0,676.0,461.0,77.0,98.0,42.0,14.0,162.0,192.0,1760.0,1056.0,792.0,33.0,528.0,537.0,228.0,2538.0,1191.0,580.0,64.0,361.0,286.0,52.0,174.0,48.0,22.0,2462.0,5287.0,2910.0,690.0,94.0,1082.0,350.0,5457.0,1191.0,9.0,36.0,378.0,567.0,306.0,3.0,204.0,153.0,1082.0,2285.0,147.0,10447.0,5187.0,5260.0,642.0,18171.0,1565.0,170.0,136.0,40.0,126.0,1431.0,110.0,192.0
Kevin_Anderson,1181.0,208.0,144.0,3441.0,4482.0,225.0,1945.0,870.0,161.0,77.0,70.0,0.0,558.0,579.0,4800.0,2880.0,2247.0,186.0,1498.0,1575.0,693.0,7559.0,3616.0,1730.0,129.0,1130.0,1066.0,148.0,560.0,128.0,48.0,6175.0,15271.0,8347.0,1890.0,208.0,2974.0,954.0,14533.0,3616.0,15.0,114.0,1054.0,1581.0,783.0,9.0,522.0,315.0,2974.0,5565.0,1739.0,28084.0,13897.0,14187.0,1264.0,53658.0,3813.0,334.0,450.0,249.0,2204.0,3538.0,260.0,434.0
Tomas_Berdych,1295.0,360.0,214.0,6974.0,9493.0,360.0,3904.0,1698.0,287.0,266.0,140.0,21.0,678.0,1140.0,7820.0,4692.0,3564.0,129.0,2376.0,2409.0,1311.0,14204.0,6859.0,3036.0,364.0,2284.0,1760.0,194.0,840.0,234.0,96.0,12001.0,27283.0,14300.0,2997.0,280.0,5214.0,1796.0,27701.0,6859.0,9.0,171.0,2086.0,3129.0,1563.0,3.0,1042.0,588.0,5214.0,10831.0,2553.0,56545.0,28312.0,28233.0,1372.0,98463.0,8192.0,760.0,916.0,142.0,3393.0,5812.0,360.0,818.0
Tommy_Haas,602.0,188.0,108.0,3874.0,4161.0,150.0,1753.0,920.0,77.0,119.0,35.0,0.0,303.0,468.0,3570.0,2142.0,1527.0,48.0,1018.0,975.0,606.0,6431.0,3136.0,1533.0,164.0,1013.0,1080.0,192.0,478.0,192.0,68.0,5310.0,12181.0,6774.0,1245.0,184.0,2318.0,814.0,12306.0,3136.0,3.0,138.0,890.0,1335.0,729.0,3.0,486.0,270.0,2318.0,4802.0,1184.0,27708.0,13812.0,13896.0,1028.0,51914.0,3476.0,334.0,398.0,59.0,1802.0,2470.0,182.0,330.0
Fabio_Fognini,498.0,320.0,200.0,5776.0,6894.0,295.0,2941.0,1366.0,175.0,168.0,105.0,0.0,228.0,639.0,5216.0,3128.0,2188.0,27.0,1460.0,1128.0,738.0,10575.0,5028.0,2461.0,346.0,1987.0,1186.0,122.0,592.0,130.0,82.0,8801.0,18469.0,10159.0,1479.0,230.0,3470.0,1326.0,20417.0,5028.0,12.0,99.0,1382.0,2073.0,1026.0,0.0,684.0,351.0,3470.0,7927.0,1909.0,42492.0,21258.0,21234.0,1426.0,74726.0,6026.0,598.0,648.0,27.0,2838.0,3703.0,270.0,530.0
Andrey_Kuznetsov,135.0,56.0,32.0,1221.0,1099.0,85.0,550.0,230.0,21.0,35.0,28.0,0.0,78.0,105.0,895.0,537.0,369.0,12.0,246.0,237.0,132.0,1739.0,854.0,311.0,89.0,329.0,106.0,10.0,48.0,20.0,8.0,1477.0,3256.0,1528.0,342.0,0.0,632.0,238.0,3380.0,854.0,3.0,27.0,274.0,411.0,222.0,3.0,148.0,105.0,632.0,1325.0,362.0,6335.0,3119.0,3216.0,0.0,10134.0,927.0,82.0,104.0,15.0,399.0,842.0,60.0,110.0
Benoit_Paire,1229.0,370.0,218.0,3750.0,7258.0,603.0,2418.0,1110.0,495.0,467.0,245.0,56.0,549.0,726.0,6355.0,3813.0,2832.0,63.0,1888.0,1863.0,810.0,12372.0,6144.0,2919.0,194.0,1146.0,1694.0,244.0,956.0,252.0,118.0,10927.0,23705.0,13824.0,2520.0,414.0,4632.0,1742.0,25651.0,6144.0,18.0,84.0,2090.0,3133.0,1503.0,3.0,1002.0,657.0,4632.0,10163.0,2108.0,42704.0,21490.0,21214.0,3078.0,83731.0,8381.0,810.0,800.0,102.0,2817.0,5149.0,458.0,606.0
Jan_Hernych,48.0,30.0,20.0,348.0,0.0,20.0,176.0,90.0,7.0,7.0,21.0,0.0,28.0,30.0,353.0,211.0,136.0,0.0,92.0,73.0,30.0,638.0,329.0,210.0,6.0,84.0,64.0,10.0,20.0,16.0,2.0,632.0,1166.0,580.0,97.0,0.0,244.0,102.0,1360.0,329.0,0.0,0.0,102.0,153.0,75.0,0.0,50.0,24.0,244.0,580.0,0.0,3293.0,1622.0,1671.0,0.0,4681.0,371.0,36.0,40.0,0.0,0.0,258.0,20.0,36.0
Mitchell_Krueger,145.0,46.0,30.0,564.0,717.0,90.0,475.0,127.0,28.0,42.0,14.0,0.0,69.0,117.0,790.0,474.0,321.0,9.0,214.0,216.0,138.0,1273.0,712.0,432.0,124.0,436.0,208.0,32.0,58.0,48.0,26.0,1114.0,2628.0,1453.0,294.0,42.0,524.0,212.0,2536.0,712.0,6.0,21.0,208.0,312.0,147.0,0.0,98.0,78.0,524.0,997.0,273.0,4863.0,2400.0,2463.0,214.0,9076.0,785.0,40.0,112.0,11.0,252.0,401.0,28.0,50.0
